,,,,,,,,,
Service Group ID,Sub Group ID,Service Name,Service Description,Unit,Time (Min/Unit),Consumable Cost/Unit,Labor Cost/Unit,Total Cost/Unit,SRP (30-50%)
Safety/Set-up,Unit Height,2 Stories,"Solar Panel Cleaning, Solar Panel Inspection, Solar Panel Bird Guard",2,$0.02,Ladder climb or pole extension adds time; cost for minimal wear (Solar Panel Roof Access).,,,
Safety/Set-up,Unit Height,3 Stories,"Solar Panel Cleaning, Solar Panel Inspection, Solar Panel Bird Guard",3,$0.05,Higher ladder or harness prep increases time; cost for gear (High Solar Panel Cleaning).,,,
Safety/Set-up,Unit Height,4+ Stories,"Solar Panel Cleaning, Solar Panel Inspection, Solar Panel Bird Guard",6,$0.15,Lifts or harnesses for tall structures add significant setup; cost for equipment (Commercial Solar Cleaning).,,,
Safety/Set-up,Unit Accessibility,Non-obstructed,"Window Cleaning: Exterior, Window Cleaning: Interior, Window Track Cleaning, Window Screen Cleaning, Window Screen Cleaning & Sealing, Screen Repair: Rescreening, Screen Repair: Screen Refurbish, Screen Repair: Custom Screen and Frame Replacement, Solar Panel Inspection, Solar Panel Cleaning, Window Tint Installation, Solar Panel Bird Guard, Glass Restoration: Hard Water Stain Restoration, Glass Restoration: Hard Water Mitigation, Glass Restoration: Scratch Restoration, Gutter Cleaning, Dryer Vent Cleaning, Dryer Vent Inspection, Deck Wash, Roof Wash, House Wash, Fence Wash, Driveway/Sidewalk/Patios, Pavers, Driveway/Sidewalk/Patios Seal",0,$0.00,Direct access requires no additional effort; baseline for all exterior tasks (General Accessibility).,,,
Safety/Set-up,Unit Accessibility,Obstructed,Window Cleaning: Exterior,1,$0.02,Shrubs or fences slow hose or ladder moves; cost for minor hose wear (Window Cleaning Obstacles).,,,
Safety/Set-up,Unit Accessibility,Obstructed,Gutter Cleaning,1,$0.02,Fences delay ladder repositioning; cost for ladder adjustments (Gutter Accessibility).,,,
Safety/Set-up,Unit Accessibility,Obstructed,"Pavers, Driveway/Sidewalk/Patios Seal, Driveway/Sidewalk/Patios, Fence Wash, House Wash",2,$0.05,Hose drag over landscaping adds time; cost for extra water/solution (Pressure Washing Obstacles).,,,
Safety/Set-up,Unit Accessibility,Obstructed,Roof Wash,1,$0.02,Minor obstacles to roof access slow setup; cost for gear wear (Roof Washing Accessibility).,,,
Safety/Set-up,Unit Accessibility,Obstructed,"Solar Panel Cleaning, Solar Panel Inspection, Solar Panel Bird Guard",1,$0.02,Obstacles to roof access add minimal time; cost for pole wear (Solar Panel Accessibility).,,,
Safety/Set-up,Unit Accessibility,Inaccessible,Window Cleaning: Exterior,4,$0.10,"Lifts or ropes for high, blocked panes add significant setup; cost for equipment (High Window Access).",,,
Safety/Set-up,Unit Accessibility,Inaccessible,Gutter Cleaning,3,$0.10,Roof-only access delays work; cost for harness setup (Inaccessible Gutters).,,,
Safety/Set-up,Unit Accessibility,Inaccessible,Roof Wash,5,$0.15,Harnesses or lifts for steep/inaccessible roofs add time; cost for safety gear (Roof Safety).,,,
Safety/Set-up,Unit Accessibility,Inaccessible,"Solar Panel Cleaning, Solar Panel Inspection, Solar Panel Bird Guard",5,$0.15,Harnesses or lifts for steep roofs add setup; cost for equipment (Solar Panel Safety).,,,
Safety/Set-up,Unit Navigability,Flat (0/12–2/12),Roof Wash,0,$0.00,Flat roofs require no extra setup; baseline for soft washing (Flat Roof Cleaning).,,,
Safety/Set-up,Unit Navigability,Low Slope (3/12–5/12),Roof Wash,0.5,$0.02,Slight slope adds minimal caution time; cost for gear wear (Low Slope Roof).,,,
Safety/Set-up,Unit Navigability,Moderate (6/12–8/12),Roof Wash,1.5,$0.05,Safety gear setup increases time; cost for harnesses (Moderate Roof).,,,
Safety/Set-up,Unit Navigability,Steep (9/12+),Roof Wash,3,$0.10,Harnesses and runoff management add time; cost for safety and solution (Steep Roof Cleaning).,,,
Safety/Set-up,Unit Navigability,Flat (0/12–2/12),"Solar Panel Cleaning, Solar Panel Inspection, Solar Panel Bird Guard",0,$0.00,Flat roofs need no extra setup; baseline for pole use (Flat Solar Cleaning).,,,
Safety/Set-up,Unit Navigability,Low Slope (3/12–5/12),"Solar Panel Cleaning, Solar Panel Inspection, Solar Panel Bird Guard",0.5,$0.02,Slight slope adds minimal pole adjustment; cost for wear (Low Slope Solar).,,,
Safety/Set-up,Unit Navigability,Moderate (6/12–8/12),"Solar Panel Cleaning, Solar Panel Inspection, Solar Panel Bird Guard",1,$0.03,Pole efficiency reduces time vs. Roof Washing; cost for gear (Moderate Solar).,,,
Safety/Set-up,Unit Navigability,Steep (9/12+),"Solar Panel Cleaning, Solar Panel Inspection, Solar Panel Bird Guard",2,$0.05,"Harnesses needed, but poles lessen runoff impact; cost for safety (Steep Solar Cleaning).",,,
Execution Time,Unit Contamination,Recent (<6 months),Window Cleaning: Exterior,0,$0.00,"Recent cleaning means light dust, no extra effort; baseline (Window Cleaning Frequency).",,,
Execution Time,Unit Contamination,Moderate (6–12 months),"Window Cleaning: Exterior, Window Cleaning: Interior",1,$0.05,Typical soiling (pollen) needs slight extra scrubbing; cost for soap (Moderate Window Cleaning).,,,
Execution Time,Unit Contamination,Heavy (>12 months),Window Cleaning: Exterior,3,$0.15,Heavy buildup requires more time and solution; cost for extra cleaner (Heavy Window Cleaning).,,,
Execution Time,Unit Contamination,Post-Construction,"Window Cleaning: Exterior, Window Cleaning: Interior",6,$0.25,Paint/adhesives double time with razor blades; cost for heavy-duty cleaner (Post-Construction Cleaning).,,,
Execution Time,Unit Contamination,Light,Roof Wash,0,$0.00,Light debris needs no extra time; baseline for soft washing (Light Roof Cleaning).,,,
Execution Time,Unit Contamination,Moderate,Roof Wash,1,$0.10,Light moss requires brief dwell; cost for solution (Moderate Roof Cleaning).,,,
Execution Time,Unit Contamination,Heavy,Roof Wash,4,$0.25,Thick algae needs extended dwell and scrubbing; cost for more solution (Heavy Roof Cleaning).,,,
Execution Time,Unit Contamination,Light,"Pavers, Driveway/Sidewalk/Patios Seal, Driveway/Sidewalk/Patios, Fence Wash",0,$0.00,Light dirt needs no extra effort; baseline for pressure washing (Light Pressure Washing).,,,
Execution Time,Unit Contamination,Moderate,"Pavers, Driveway/Sidewalk/Patios Seal, Driveway/Sidewalk/Patios, Fence Wash",2,$0.15,Moderate stains need pre-treatment and passes; cost for detergent (Moderate Pressure Washing).,,,
Execution Time,Unit Contamination,Heavy,"Pavers, Driveway/Sidewalk/Patios Seal, Driveway/Sidewalk/Patios, Fence Wash",5,$0.30,Oil/thick debris needs degreaser and multiple passes; cost for chemicals (Heavy Pressure Washing).,,,
Execution Time,Unit Contamination,Light,Dryer Vent Cleaning,0,$0.00,Light lint needs no extra effort; baseline for vacuum use (Dryer Vent Cleaning).,,,
Execution Time,Unit Contamination,Moderate,Dryer Vent Cleaning,2,$0.05,Moderate buildup needs vacuum and brush; cost for minimal cleaner (Moderate Dryer Vent).,,,
Execution Time,Unit Contamination,Heavy,Dryer Vent Cleaning,4,$0.10,Heavy lint requires rotary brush and deep cleaning; cost for tools (Heavy Dryer Vent).,,,
Execution Time,Unit Contamination,Light,Gutter Cleaning,0,$0.00,Light debris needs no extra effort; baseline for scoop (Light Gutter Cleaning).,,,
Execution Time,Unit Contamination,Moderate,Gutter Cleaning,1,$0.05,Moderate leaves need scoop and flush; cost for water (Moderate Gutter Cleaning).,,,
Execution Time,Unit Contamination,Heavy,Gutter Cleaning,3,$0.10,Thick debris needs extensive scooping and flushing; cost for water/tools (Heavy Gutter Cleaning).,,,
Execution Time,Unit Features,Small,"Window Cleaning: Exterior, Window Cleaning: Interior, Window Tint Installation, Screen Repair: Rescreening, Screen Repair: Custom Screen and Frame Replacement, Glass Restoration: Scratch Restoration, Window Screen Cleaning & Sealing",-1,-$0.02,Smaller units reduce cleaning time and solution; savings from efficiency (Small Surface Cleaning).,,,
Execution Time,Unit Features,Standard (>8 sq. ft.),"Window Cleaning: Exterior, Window Cleaning: Interior, Window Tint Installation, Screen Repair: Rescreening, Screen Repair: Custom Screen and Frame Replacement, Glass Restoration: Scratch Restoration, Window Screen Cleaning & Sealing",0,$0.00,Baseline size for standard cleaning methods (Standard Surface Cleaning).,,,
Execution Time,Unit Features,Large (>16 sq. ft.),"Window Cleaning: Exterior, Window Cleaning: Interior, Window Tint Installation, Screen Repair: Rescreening, Screen Repair: Custom Screen and Frame Replacement, Glass Restoration: Scratch Restoration, Window Screen Cleaning & Sealing",2,$0.10,Larger surfaces need more passes and solution; cost for extra cleaner (Large Surface Cleaning).,,,
Execution Time,Unit Features,Skylights/Storm Windows,"Window Cleaning: Exterior, Window Cleaning: Interior, Window Tint Installation, Screen Repair: Rescreening, Screen Repair: Custom Screen and Frame Replacement, Glass Restoration: Scratch Restoration, Window Screen Cleaning & Sealing",3,$0.15,Awkward angles add time and care; cost for solution and tools (Skylight Cleaning).,,,
Execution Time,Unit Features,Multipane/French Pane,"Window Cleaning: Exterior, Window Cleaning: Interior, Window Tint Installation, Screen Repair: Rescreening, Screen Repair: Custom Screen and Frame Replacement, Glass Restoration: Scratch Restoration, Window Screen Cleaning & Sealing",4,$0.20,Multiple panes require individual passes; cost for more solution (Multipane Cleaning).,,,
Execution Time,Unit Material,"Durable (Vinyl, Metal)",Roof Wash,0,$0.00,Durable materials need no extra care; baseline for soft washing (Durable Roof Cleaning).,,,
Execution Time,Unit Material,Less Durable (Asphalt Shingles),Roof Wash,1,$0.05,Gentler soft washing adds slight time; cost for minimal solution (Shingle Cleaning).,,,
Execution Time,Unit Material,Porous (Wood),Roof Wash,1.5,$0.10,Porous wood needs moderate dwell; cost for absorbed solution (rare case) (Porous Roof Cleaning).,,,
Execution Time,Unit Material,"Durable (Vinyl, Metal)",House Wash,0,$0.00,Durable siding needs no extra care; baseline for soft washing (Durable Siding Cleaning).,,,
Execution Time,Unit Material,Less Durable (Older Siding),House Wash,1,$0.05,Gentler methods add slight time; cost for minimal solution (Older Siding Cleaning).,,,
Execution Time,Unit Material,Porous (Stucco),House Wash,2,$0.20,Porous stucco needs longer dwell and more solution; cost for absorption (Stucco Cleaning).,,,
Execution Time,Unit Material,"Durable (Vinyl, Metal)",Fence Wash,0,$0.00,Durable fences need no extra care; baseline for pressure washing (Durable Fence Cleaning).,,,
Execution Time,Unit Material,Wood,Fence Wash,1.5,$0.10,Wood requires care and cleaner; cost for solution (Wood Fence Cleaning).,,,
Execution Time,Unit Material,Durable (Concrete),"Driveway/Sidewalk/Patios, Driveway/Sidewalk/Patios Seal",0,$0.00,Durable concrete needs no extra care; baseline for pressure washing (Concrete Cleaning).,,,
Execution Time,Unit Material,Wood,"Driveway/Sidewalk/Patios, Driveway/Sidewalk/Patios Seal",1.5,$0.10,Wood decks need care and cleaner; cost for solution (Wood Deck Cleaning).,,,
Optional: Execution Time,Equipment Efficiency,Water-Fed Pole,Window Cleaning: Exterior,-1,-$0.05,Pole reduces ladder time and solution use; savings from efficiency (Water-Fed Pole Benefits).,,,
Optional: Execution Time,Equipment Efficiency,Surface Cleaner,"Pavers, Driveway/Sidewalk/Patios, Driveway/Sidewalk/Patios Seal",-2,-$0.10,Surface cleaner speeds up large areas; savings from water/solution (Surface Cleaner Use).,,,
Optional: Modifier,Weather Impact,Sun,"Window Cleaning: Exterior, Window Cleaning: Interior, Glass Restoration: Hard Water Stain Restoration, Glass Restoration: Hard Water Mitigation",1,$0.02,"Sun causes streaking, adding wiping time; cost for extra solution (Sunny Day Cleaning).",,,
Optional: Modifier,Weather Impact,Rain,,2,$0.05,Rain delays drying and increases safety time; cost for gear/solution (Rain Impact).,,,
